Week,SuperLearner,DiscreteSL
01,2.72 (0.015),2.63 (0.014)
02,2.62 (0.015),2.61 (0.014)
03,2.56 (0.014),2.49 (0.014)
04,2.46 (0.014),2.38 (0.014)
05,2.39 (0.014),2.33 (0.014)
06,2.36 (0.014),2.31 (0.014)
07,2.21 (0.014),2.32 (0.014)
08,2.22 (0.014),2.31 (0.015)
09,2.27 (0.015),2.38 (0.016)
10,2.21 (0.014),2.30 (0.015)
11,2.26 (0.015),2.40 (0.015)
12,2.11 (0.015),2.21 (0.017)
13,2.16 (0.015),2.31 (0.016)
14,2.02 (0.015),2.13 (0.017)
15,1.91 (0.015),2.02 (0.017)
16,1.78 (0.015),1.88 (0.016)
17,1.28 (0.014),1.33 (0.015)
18,1.07 (0.013),1.13 (0.014)
19,0.92 (0.011),0.99 (0.012)
20,0.76 (0.009),0.92 (0.009)
21,0.61 (0.008),0.77 (0.008)
22,0.37 (0.005),0.44 (0.006)
23,0.31 (0.003),0.37 (0.004)
24,0.21 (0.002),0.32 (0.003)
25,0.23 (0.002),0.35 (0.003)
26,0.26 (0.002),0.39 (0.005)
27,0.24 (0.002),0.39 (0.004)
29,0.28 (0.002),0.39 (0.004)
30,0.28 (0.002),0.42 (0.004)
