Week,SuperLearner,DiscreteSL
01,2.0 (0.142),1.6 (0.142)
05,2.05 (0.149),1.59 (0.164)
10,1.99 (0.129),0.64 (0.127)
15,1.91 (0.131),0.57 (0.131)
20,2.67 (0.124),0.96 (0.157)
25,2.37 (0.148),0.54 (0.134)
30,2.26 (0.141),0.68 (0.119)
