Week,SuperLearnerCV,DiscreteSL
01,28.09 (0.163),27.48 (0.182)
05,29.08 (0.184),28.09 (0.175)
10,24.43 (0.157),22.29 (0.154)
15,20.84 (0.146),17.50 (0.145)
20,13.95 (0.130), 9.75 (0.090)
25,2.11 (0.020),1.86 (0.017)
30,0 (0),0 (0)
