Week,Mean,SD,Median,Minimum,Maximum
01,2.06627222626269,0.229657807246951,2.11669894163428,1.51909419462708,2.55681419203848
02,2.68478031995075,0.986252107356703,2.15041150087014,1.46588472850863,6.39335821427664
03,3.51391562049854,6.82993853342655,2.18251332066853,1.66769292442504,59.270859287034
04,2.46011291123117,1.11275049117572,2.20817039488345,1.88671093888464,11.015231587593
05,2.60249142862317,2.36175692061496,2.0989165658872,1.66030241880876,21.0402716129969
06,2.59516455641342,1.63048870268868,2.14429991320263,1.76992213651846,15.1777420323014
07,4.24614350263039,6.56870620493763,2.2944931887872,1.66542321299907,48.046976107333
08,3.6131442846434,11.646547794444,2.11669894163428,1.59682159098611,103.595963935683
09,2.40069457378131,0.948781877605307,2.12476220748233,1.70311878719453,9.26204700793704
10,2.56388958332043,3.22976360594056,2.08868636702612,0.64101532174076,28.848898636436
11,2.14609392477268,1.3858225869038,1.88850085252363,0.996518566607581,12.7766271135447
12,1.98248999508648,2.02002753148009,1.71241281190393,0.627263538418845,18.1655309607116
13,2.01348222614416,1.69061999385728,1.78097168265856,0.45666255491912,15.5198880414489
14,1.95566874008253,1.47288478327701,1.81659356524239,0.51826811129527,14.1749285651713
15,2.53547862311226,5.94609796566237,1.66754715948109,0.581192571260416,52.8709072300204
16,2.6646063379244,4.93622788064033,1.86681072351143,0.830525287620995,43.1906988534304
17,2.51801037083807,4.94609453144874,1.83590955700596,0.691768749095607,44.3378238772257
18,2.46129254334832,5.02856535241133,1.56309097683234,0.823172152836553,44.8393898597238
19,2.66600001479243,5.2642816295484,1.68274154518801,0.873040578080489,44.5505186580116
20,2.55327580753415,5.10368978892583,1.64567566699056,0.955236317728858,43.3500983983107
21,2.52543289088451,5.00414221904732,1.75225591970616,0.934302622803429,43.3500983983107
22,2.47740924158095,5.01415100844873,1.6799601341716,0.337038458456412,43.3500983983107
23,2.40761899142675,4.89873474532149,1.82070142814153,0.387581373336015,43.3500983983107
24,2.39569763511804,5.03545692096715,1.65908265208753,0.49557204585454,43.3500983983107
25,2.58176210947674,5.13589663701245,1.63482550851206,0.540370491842019,43.3500983983107
26,2.39927989958893,4.99453312169572,1.67854306484912,0.56011968836801,43.3500983983107
27,2.3870929156164,5.11143571045867,1.53921396656435,0.613691666278846,43.3500983983107
28,2.41387087041495,5.05023974738841,1.78693574123891,0.564715459748053,43.3500983983107
29,2.59082196699939,5.37985507977533,1.63981397284322,0.58218798176934,43.3500983983107
30,2.46236645948652,5.04769322882732,1.90799111551443,0.686799056174991,43.3500983983107
