Week,SuperLearnerCV,DiscreteSL
01,2.65 (0.015),2.61 (0.016)
05,2.59 (0.019),2.41 (0.015)
10,2.36 (0.037),2.07 (0.016)
15,2.15 (0.015),2.01 (0.016)
20,1.05 (0.010),0.97 (0.010)
25,0.35 (0.003),0.36 (0.004)
30,0.54 (0.005),0.49 (0.005)
