Week,SuperLearner,DiscreteSL
01,2.55 (0.597),1.98 (0.743)
05,2.98 (0.547),2.02 (0.739)
10,2.83 (0.513),1.95 (0.697)
15,2.21 (0.605),1.65 (0.563)
20,2.00 (0.621),0.84 (0.538)
25,2.24 (0.686),1.19 (0.471)
30,1.98 (0.673),1.11 (0.430)
