Week,SuperLearner,DiscreteSL
01,23.04 (2.754),20.60 (2.656)
02,24.72 (2.819),19.45 (2.059)
03,25.55 (2.890),17.28 (2.417)
04,25.43 (2.694),20.77 (3.137)
05,22.69 (2.652),19.58 (2.871)
06,24.35 (2.793),20.77 (3.137)
07,24.66 (2.695),19.22 (2.786)
08,26.76 (2.626),16.72 (1.900)
09,23.75 (3.007),19.46 (2.605)
10,23.59 (2.852), 9.21 (2.305)
11,22.61 (2.792),15.81 (2.286)
12,23.01 (2.813),14.20 (2.280)
13,24.37 (2.777),12.26 (2.531)
14,29.55 (2.132),14.17 (2.420)
15,32.86 (2.324),12.84 (2.591)
16,32.90 (2.374), 6.33 (2.216)
17,32.11 (2.420),13.08 (2.325)
18,31.49 (2.438), 5.37 (2.252)
19,32.85 (2.452), 7.07 (2.307)
20,26.56 (2.140), 6.83 (2.301)
21,31.09 (2.451), 6.66 (2.242)
22,25.48 (2.121), 4.08 (2.279)
23,32.14 (2.207), 2.76 (2.262)
24,31.24 (2.026), 2.18 (2.226)
25,28.55 (2.262), 1.64 (2.230)
26,26.11 (2.106), 1.35 (2.223)
27,26.86 (2.172), 0.81 (2.217)
28,29.65 (2.133), 0.28 (2.226)
29,30.68 (2.246), 0.11 (2.230)
30,30.64 (2.233), 0.00 (2.229)
