Week,SuperLearner,DiscreteSL
01,1.98 (0.743),1.98 (0.743)
02,1.92 (0.747),1.92 (0.747)
03,3.12 (0.562),1.96 (0.746)
04,2.12 (0.719),1.98 (0.745)
05,3.00 (0.514),2.02 (0.739)
06,2.12 (0.737),2.01 (0.739)
07,2.70 (0.591),2.05 (0.735)
08,2.74 (0.593),2.13 (0.742)
09,3.21 (0.478),1.90 (0.734)
10,2.58 (0.595),1.95 (0.697)
11,2.34 (0.597),1.31 (0.523)
12,2.25 (0.664),2.13 (0.550)
13,2.22 (0.593),1.57 (0.513)
14,2.25 (0.617),1.92 (0.548)
15,1.90 (0.667),1.67 (0.632)
16,2.11 (0.674),1.60 (0.490)
17,2.04 (0.679),1.67 (0.627)
18,2.14 (0.643),1.35 (0.459)
19,2.02 (0.681),1.21 (0.632)
20,2.03 (0.686),0.85 (0.524)
21,2.57 (0.567),0.75 (0.513)
22,2.03 (0.699),1.14 (0.455)
23,2.18 (0.655),1.07 (0.447)
24,1.95 (0.691),1.22 (0.467)
25,2.01 (0.688),1.13 (0.458)
26,1.88 (0.702),1.22 (0.459)
27,2.09 (0.681),0.92 (0.476)
28,1.99 (0.697),1.25 (0.474)
29,2.15 (0.711),0.99 (0.489)
30,2.16 (0.688),1.11 (0.430)
