Week,SuperLearnerCV,DiscreteSL
01,3.50 (0.017),3.31 (0.016)
05,3.79 (0.018),3.37 (0.020)
10,3.38 (0.021),3.18 (0.020)
15,4.10 (0.019),3.18 (0.018)
20,1.59 (0.010),1.57 (0.009)
25,1.72 (0.011),1.30 (0.010)
30,1.77 (0.011),1.44 (0.010)
