Week,SuperLearnerCV,DiscreteSL
01,28.21 (0.163),27.48 (0.182)
02,28.61 (0.171),27.89 (0.161)
03,31.44 (0.295),26.97 (0.157)
04,34.06 (0.448),27.64 (0.163)
05,43.64 (0.777),28.25 (0.174)
06,24.99 (0.171),23.41 (0.154)
07,29.66 (0.226),26.04 (0.188)
08,27.31 (0.175),25.20 (0.174)
09,26.34 (0.184),25.00 (0.184)
10,21.13 (0.132),22.66 (0.158)
11,22.49 (0.147),21.19 (0.166)
12,21.37 (0.139),21.93 (0.160)
13,23.42 (0.254),19.23 (0.152)
14,21.90 (0.179),20.18 (0.134)
15,21.06 (0.152),20.00 (0.139)
16,22.41 (0.150),18.39 (0.182)
17,22.16 (0.164),18.04 (0.136)
18,14.05 (0.119),13.69 (0.118)
19,13.46 (0.120),11.72 (0.112)
20,11.21 (0.096), 9.65 (0.087)
21,12.08 (0.100), 8.72 (0.076)
22,7.79 (0.061),6.58 (0.054)
23,5.48 (0.044),4.74 (0.042)
24,3.92 (0.034),3.45 (0.027)
25,1.87 (0.019),1.76 (0.017)
26,2.06 (0.019),1.74 (0.013)
27,0.78 (0.007),0.73 (0.008)
28,0.52 (0.006),0.53 (0.005)
29,0.33 (0.003),0.25 (0.003)
30,0 (0),0 (0)
