Week,SuperLearnerCV,DiscreteSL
01,29.17 (0.169),28.33 (0.164)
02,29.60 (0.173),28.99 (0.175)
03,28.37 (0.171),27.90 (0.169)
04,28.32 (0.172),27.71 (0.168)
05,29.14 (0.179),28.19 (0.173)
06,23.89 (0.159),23.37 (0.154)
07,26.91 (0.196),26.00 (0.189)
08,26.13 (0.184),25.17 (0.175)
09,25.55 (0.197),24.92 (0.183)
10,25.00 (0.177),23.15 (0.172)
11,23.82 (0.172),22.29 (0.158)
12,22.52 (0.155),22.05 (0.159)
13,20.22 (0.144),21.37 (0.169)
14,19.40 (0.154),20.21 (0.134)
15,21.15 (0.152),19.87 (0.135)
16,20.81 (0.148),18.61 (0.143)
17,19.27 (0.137),18.02 (0.140)
18,14.07 (0.104),13.79 (0.109)
19,12.38 (0.098),11.70 (0.111)
20,11.62 (0.088), 9.80 (0.089)
21,10.04 (0.086), 8.86 (0.076)
22,8.32 (0.066),7.02 (0.059)
23,6.04 (0.051),6.11 (0.051)
24,3.88 (0.029),4.01 (0.038)
25,2.08 (0.018),1.83 (0.017)
26,1.94 (0.015),1.82 (0.014)
27,1.01 (0.009),0.95 (0.008)
28,0.92 (0.009),0.91 (0.007)
29,0.46 (0.009),0.46 (0.009)
30,0.12 (0.007),0.11 (0.006)
