Week,SuperLearner,DiscreteSL
01,28.18 (0.163),27.48 (0.182)
05,26.15 (0.152),28.09 (0.175)
10,19.36 (0.119),22.29 (0.154)
15,16.84 (0.117),17.50 (0.145)
20,9.24 (0.062),9.75 (0.090)
25,1.76 (0.016),1.86 (0.017)
30,0 (0),0 (0)
