Week,SuperLearnerCV,DiscreteSL
01,2.65 (0.015),2.61 (0.016)
05,2.47 (0.014),2.43 (0.015)
10,2.06 (0.014),2.12 (0.016)
15,2.23 (0.015),2.02 (0.016)
20,1.16 (0.011),1.00 (0.010)
25,0.37 (0.004),0.39 (0.004)
30,0.69 (0.012),0.44 (0.004)
