Week,Mean,SD,Median,Minimum,Maximum
01,25.6542741343842,2.47748953627454,26.4225026213893,20.5996607650588,31.2236031165587
02,27.1044346938442,4.94209159152367,25.9549128002376,19.4491167248395,45.1035352351761
03,42.6396836189178,96.072398269732,25.7859574545891,17.2754950869514,835.876857144278
04,29.8671810039411,14.9289011210165,27.1161420517159,20.7695499393598,148.941016097544
05,26.2399367685697,9.04179276848123,23.0801109267594,19.5798375269562,89.9966752578424
06,28.1316890385398,12.2101946338215,24.7453700176661,20.7695499393598,111.920390189755
07,29.216739114595,33.6991051380292,23.8183885389567,19.2164970289609,315.233548029005
08,36.245341303372,99.3923072213174,23.2991787655203,16.7175159192138,890.239108217905
09,29.0941709039896,39.9268769846254,22.551716477983,19.4599598340265,370.489303240969
10,29.5092941392268,73.6219093344096,19.673201857345,9.21454309093294,660.204424352131
11,22.3368525450798,6.32434370673294,20.4035023843185,15.8142090987202,53.9749714538927
12,25.197446285897,29.3649988107188,20.7445319435009,14.1988611409793,271.964978951456
13,22.1735671249686,13.5164221147344,19.7182447217429,12.2616552654061,128.339039094545
14,23.3019019360928,16.4930751404338,20.210704291884,14.1708601237231,122.046716546326
15,22.5204006403409,20.1107451619163,19.6758269666336,12.835036740356,173.069638555731
16,23.5860710178132,21.1189852348,20.7695499393598,6.33027655629213,167.58272416353
17,23.0130841453812,15.3352965253483,20.7695499393598,13.0807098774475,128.676892743908
18,21.6537935297006,17.9864827717905,19.6125563232728,5.3728722658328,126.786883165123
19,23.36764542279,28.2667575123011,20.1420879428239,7.07404105576269,228.504137907426
20,22.7534120823721,25.9645219402115,20.7695499393598,6.82687483338076,214.88602260054
21,22.6487280935343,21.0990673497141,19.9606212245978,6.6600648748837,165.174960437347
22,23.0640018706434,27.8230930207816,20.7695499393598,4.0764243113269,233.399530377611
23,21.4951809893045,19.1773029203093,20.7695499393598,2.7605451670588,136.978593504108
24,21.8172997756428,24.2026603077935,20.5555693515575,2.17639096828341,192.979012271318
25,21.8226933533648,22.5932280248252,20.7236462641953,1.64293202151255,173.183626229343
26,21.6022934419792,22.9197341016904,18.6991359710757,1.34616659444466,175.886679048537
27,22.1048084650016,27.6691945860757,20.4780196180501,0.807740857544693,225.620156414236
28,21.6748436917732,24.1986003577947,20.3948532984673,0.275988177879276,188.642958884205
29,23.21886746325,30.9926246208321,19.1597952638098,0.110024953268733,253.976867672575
30,21.3214979697203,22.8066499385067,20.7695499393598,0.00350179126493835,175.558610565137
