Week,SuperLearner,DiscreteSL
01,3.54 (0.019),3.53 (0.018)
02,3.64 (0.02),3.64 (0.02)
03,3.58 (0.019),3.60 (0.019)
04,3.34 (0.019),3.36 (0.019)
05,3.31 (0.019),3.38 (0.020)
06,3.02 (0.019),3.03 (0.019)
07,3.09 (0.018),3.07 (0.019)
08,2.27 (0.015),2.27 (0.015)
09,2.59 (0.018),2.68 (0.017)
10,3.17 (0.02),3.18 (0.02)
11,3.49 (0.023),3.64 (0.021)
12,3.23 (0.020),3.19 (0.019)
13,3.42 (0.022),3.54 (0.023)
14,3.41 (0.019),3.47 (0.019)
15,3.64 (0.019),3.81 (0.020)
16,3.22 (0.026),3.22 (0.026)
17,3.29 (0.024),3.31 (0.024)
18,1.91 (0.015),1.99 (0.015)
19,1.60 (0.009),1.76 (0.009)
20,1.36 (0.009),1.55 (0.009)
21,1.36 (0.008),1.41 (0.008)
22,1.32 (0.01),1.34 (0.01)
23,1.25 (0.01),1.26 (0.01)
24,1.14 (0.009),1.15 (0.009)
25,1.25 (0.01),1.25 (0.01)
26,1.49 (0.011),1.50 (0.011)
27,1.37 (0.008),1.42 (0.008)
28,1.28 (0.008),1.36 (0.008)
29,1.30 (0.009),1.35 (0.009)
30,1.35 (0.009),1.43 (0.010)
