Week,SuperLearner,DiscreteSL
01,26.85 (1.929),21.67 (1.749)
02,28.71 (1.909),23.35 (1.721)
03,26.42 (1.911),23.67 (1.600)
04,23.55 (1.857),21.49 (1.629)
05,28.98 (2.075),20.35 (1.492)
06,32.87 (1.595),22.08 (1.942)
07,24.44 (1.945),21.37 (1.776)
08,24.95 (1.944),22.49 (2.051)
09,25.65 (1.912),20.70 (1.519)
10,25.28 (1.899),22.56 (1.682)
11,25.75 (1.939),21.60 (1.851)
12,24.76 (2.152),20.72 (1.708)
13,23.77 (1.950),20.21 (1.645)
14,29.33 (1.868),19.27 (1.888)
15,26.11 (1.767),18.50 (1.719)
16,25.01 (1.896),16.95 (1.695)
17,25.82 (1.834), 9.55 (1.521)
18,25.87 (1.867), 5.83 (1.623)
19,26.02 (1.864), 7.44 (1.534)
20,21.16 (1.891), 4.79 (1.477)
21,26.77 (1.858), 4.86 (1.558)
22,25.03 (1.872), 2.95 (1.476)
23,26.92 (1.960), 2.60 (1.483)
24,26.37 (1.874), 0.81 (1.507)
25,25.53 (1.816), 0.40 (1.509)
26,25.46 (1.810), 0.12 (1.506)
27,26.77 (1.853), 0.24 (1.505)
28,26.87 (1.813), 0.21 (1.506)
29,30.71 (1.605), 0.13 (1.507)
30,23.42 (1.923), 0.01 (1.507)
