Week,SuperLearnerCV,DiscreteSL
01,29.43 (0.184),28.42 (0.166)
02,28.13 (0.170),27.49 (0.162)
03,28.37 (0.181),27.34 (0.177)
04,26.36 (0.164),25.56 (0.169)
05,25.72 (0.163),24.70 (0.166)
06,25.43 (0.164),24.95 (0.176)
07,25.06 (0.192),24.70 (0.180)
08,26.73 (0.176),23.08 (0.144)
09,26.61 (0.247),23.91 (0.152)
10,25.67 (0.157),23.71 (0.159)
11,26.33 (0.283),23.40 (0.186)
12,25.83 (0.170),23.79 (0.174)
13,26.59 (0.163),23.99 (0.168)
14,26.03 (0.156),23.76 (0.160)
15,23.94 (0.154),23.13 (0.143)
16,24.32 (0.155),21.24 (0.148)
17,16.94 (0.128),16.27 (0.124)
18,14.19 (0.109),12.74 (0.110)
19,10.09 (0.091),10.92 (0.095)
20,9.05 (0.080),8.94 (0.081)
21,10.22 (0.088), 8.83 (0.080)
22,4.92 (0.039),4.55 (0.038)
23,4.93 (0.043),4.23 (0.040)
24,2.87 (0.030),2.14 (0.017)
25,1.89 (0.018),1.51 (0.012)
26,1.33 (0.013),1.17 (0.010)
27,1.04 (0.011),0.83 (0.006)
28,0.60 (0.007),0.53 (0.004)
29,0.23 (0.002),0.23 (0.002)
30,0 (0),0 (0)
