Week,SuperLearnerCV,DiscreteSL
01,4.02 (0.024),3.74 (0.026)
02,3.71 (0.023),3.65 (0.025)
03,3.69 (0.023),3.63 (0.022)
04,3.67 (0.023),3.65 (0.023)
05,3.66 (0.023),3.59 (0.023)
06,3.69 (0.023),3.63 (0.023)
07,3.62 (0.023),3.57 (0.023)
08,3.56 (0.056),3.18 (0.022)
09,3.34 (0.027),3.20 (0.021)
10,3.52 (0.024),3.29 (0.025)
11,3.50 (0.024),3.42 (0.024)
12,3.38 (0.024),3.42 (0.024)
13,3.62 (0.026),3.14 (0.024)
14,3.38 (0.023),2.99 (0.024)
15,3.90 (0.025),3.50 (0.026)
16,4.01 (0.029),3.36 (0.027)
17,3.42 (0.026),3.13 (0.028)
18,2.20 (0.02),2.21 (0.02)
19,2.26 (0.019),1.86 (0.018)
20,2.00 (0.017),1.66 (0.017)
21,1.61 (0.017),1.35 (0.016)
22,1.21 (0.015),1.19 (0.015)
23,1.08 (0.014),1.13 (0.014)
24,1.17 (0.015),1.07 (0.015)
25,1.56 (0.017),1.34 (0.015)
26,1.38 (0.014),1.26 (0.014)
27,1.44 (0.014),1.23 (0.014)
28,1.54 (0.019),1.22 (0.014)
29,1.38 (0.014),1.24 (0.013)
30,1.48 (0.014),1.35 (0.013)
