Week,SuperLearnerCV,DiscreteSL
01,2.65 (0.015),2.61 (0.016)
02,2.75 (0.016),2.64 (0.014)
03,2.61 (0.015),2.54 (0.015)
04,2.63 (0.016),2.58 (0.017)
05,2.49 (0.015),2.43 (0.015)
06,2.40 (0.015),2.39 (0.015)
07,2.89 (0.032),2.48 (0.016)
08,2.52 (0.017),2.43 (0.017)
09,2.57 (0.016),2.63 (0.019)
10,2.18 (0.016),2.06 (0.016)
11,1.94 (0.016),1.72 (0.013)
12,1.93 (0.014),1.80 (0.013)
13,1.98 (0.016),1.68 (0.014)
14,2.06 (0.014),1.91 (0.014)
15,2.08 (0.016),2.03 (0.016)
16,2.08 (0.015),1.74 (0.014)
17,1.36 (0.011),1.11 (0.008)
18,1.37 (0.012),1.24 (0.011)
19,1.32 (0.012),1.41 (0.013)
20,1.05 (0.011),1.00 (0.010)
21,0.96 (0.011),0.80 (0.009)
22,0.45 (0.006),0.43 (0.006)
23,0.46 (0.006),0.42 (0.006)
24,0.41 (0.004),0.36 (0.004)
25,0.36 (0.003),0.39 (0.004)
26,0.54 (0.009),0.41 (0.005)
27,0.49 (0.005),0.47 (0.006)
28,0.41 (0.004),0.48 (0.005)
29,0.54 (0.005),0.48 (0.005)
30,0.58 (0.005),0.44 (0.004)
