Week,Mean,SD,Median,Minimum,Maximum
01,3.59322434599423,0.0820520255082735,3.5801063203161,3.33661878292219,3.82033852866302
02,4.05784106734372,1.96048965546397,3.70022601816725,3.47017422024486,16.4849578212992
03,4.01265859886973,1.56905328913615,3.71422288670894,3.57042480763009,16.2919999332636
04,3.87452056061819,1.24620448760272,3.75437915267276,3.37583851333294,12.9525390278302
05,4.30535999569222,2.5858649187794,3.8310025253189,3.3716089486682,24.3535347561295
06,4.02334363688357,1.97040797224868,3.70109412218539,3.02238068933472,18.0552311296641
07,3.82879954655636,0.902591608713073,3.7303929991045,3.03718111744907,8.36639756127057
08,3.26767353397555,1.37309612332124,3.1732950003841,2.29543131963455,11.8064010473165
09,3.30445148364764,1.05395963941436,2.96560070180761,2.60754240563716,9.37384006536061
10,3.88122342502356,1.20343417874426,3.58275389334148,3.14866999489257,11.3457390230629
11,4.21072291157716,1.18874596406663,3.83195092014339,3.27937261707107,11.1918117258401
12,3.78923180678011,0.887825721894084,3.54982345061885,2.87517593646272,7.74898317476276
13,3.95426557717304,0.98049079799815,3.61209227577536,3.06861495432198,9.29142284682023
14,4.64737430430062,1.78996614010051,4.19609670050539,3.49719901972714,17.3305996558017
15,4.46094037186429,1.17305491896989,4.00441536806908,3.58275389334148,11.7289463409885
16,4.0964706648409,1.37020322658853,3.58275389334148,2.87150146171101,11.6009170895293
17,3.91032016492013,1.04256762770818,3.4590458473349,2.9945805318726,9.94518926187843
18,2.62118753222373,0.926964853087125,2.3229540569035,1.79924596816978,9.12166848876059
19,2.33701411511783,1.01904682665545,1.85429026189704,1.69322149767741,9.05859392045614
20,2.23995642359371,1.06252961825694,2.06085674327119,1.55237645859539,9.80470545093185
21,2.18756550712319,1.50783148265919,1.95319917386214,1.41042125509468,13.7913678509452
22,2.2142486301694,1.57077335754011,1.85949419669036,1.33317599910586,14.146878621469
23,2.21068444911494,1.59884013235076,2.12847242977607,1.23106879572089,14.2435363067702
24,2.43398077840169,2.02609677303709,2.10716017621078,1.12907126046399,17.2600061973435
25,2.56224316203969,1.88303104658847,2.4797728864666,1.23970549896608,12.9769047794026
26,2.4447964051837,1.18569578091225,2.22377399171885,1.51851861314265,9.734767119465
27,2.53340275173857,1.40588996886742,2.37290229274819,1.47797719161166,11.8692614838128
28,2.70762461479664,2.09215917679856,2.52587694672184,1.40134560809573,17.6314259659642
29,2.52573965501892,1.85166611223751,2.2983228342198,1.35000141982323,16.2505640368494
30,2.62847283549415,1.96020168352437,2.45962945043765,1.4293108998818,17.4850024270406
