Week,SuperLearner,DiscreteSL
01,2.22 (0.140),1.52 (0.126)
02,2.07 (0.154),1.47 (0.123)
03,2.28 (0.173),1.67 (0.150)
04,2.25 (0.145),1.89 (0.145)
05,1.99 (0.151),1.66 (0.157)
06,2.26 (0.163),1.77 (0.147)
07,2.39 (0.146),1.67 (0.161)
08,2.25 (0.121),1.60 (0.146)
09,2.24 (0.166),1.70 (0.162)
10,1.99 (0.151),0.64 (0.127)
11,1.98 (0.176),1.00 (0.120)
12,1.99 (0.159),0.63 (0.122)
13,2.24 (0.183),0.46 (0.125)
14,1.94 (0.160),0.52 (0.126)
15,2.36 (0.154),0.58 (0.129)
16,2.41 (0.176),0.83 (0.139)
17,2.06 (0.180),0.69 (0.123)
18,2.28 (0.176),0.82 (0.125)
19,2.22 (0.149),0.87 (0.157)
20,2.50 (0.119),0.96 (0.157)
21,2.26 (0.184),0.93 (0.153)
22,2.73 (0.118),0.34 (0.134)
23,2.22 (0.158),0.39 (0.126)
24,2.17 (0.149),0.50 (0.132)
25,2.22 (0.162),0.54 (0.134)
26,1.78 (0.163),0.56 (0.129)
27,2.04 (0.164),0.61 (0.127)
28,2.35 (0.151),0.56 (0.132)
29,2.31 (0.156),0.58 (0.122)
30,2.28 (0.148),0.69 (0.127)
