Week,SuperLearnerCV,DiscreteSL
01,3.51 (0.017),3.34 (0.022)
02,3.74 (0.018),3.47 (0.018)
03,3.72 (0.018),3.57 (0.019)
04,3.40 (0.018),3.38 (0.020)
05,3.75 (0.019),3.37 (0.020)
06,3.26 (0.018),3.02 (0.019)
07,3.55 (0.018),3.04 (0.019)
08,2.65 (0.017),2.30 (0.015)
09,2.84 (0.018),2.61 (0.020)
10,3.55 (0.023),3.15 (0.020)
11,3.94 (0.111),3.28 (0.022)
12,3.52 (0.025),2.88 (0.020)
13,3.53 (0.020),3.07 (0.021)
14,4.04 (0.023),3.50 (0.019)
15,5.17 (0.061),3.58 (0.017)
16,3.79 (0.024),2.87 (0.018)
17,3.19 (0.026),2.99 (0.023)
18,2.09 (0.025),1.80 (0.014)
19,1.52 (0.010),1.69 (0.015)
20,1.64 (0.010),1.55 (0.009)
21,1.68 (0.014),1.41 (0.008)
22,1.42 (0.009),1.33 (0.009)
23,1.31 (0.012),1.23 (0.009)
24,1.79 (0.025),1.13 (0.009)
25,1.62 (0.009),1.24 (0.010)
26,2.02 (0.011),1.52 (0.010)
27,1.61 (0.011),1.48 (0.008)
28,1.44 (0.010),1.40 (0.009)
29,1.48 (0.009),1.35 (0.009)
30,1.67 (0.010),1.43 (0.010)
