Week,SuperLearner,DiscreteSL
01,3.52 (0.017),3.31 (0.016)
05,3.35 (0.017),3.37 (0.020)
10,3.06 (0.018),3.18 (0.020)
15,3.10 (0.015),3.18 (0.018)
20,1.24 (0.008),1.57 (0.009)
25,1.23 (0.008),1.30 (0.010)
30,1.26 (0.009),1.44 (0.010)
