Week,SuperLearner,DiscreteSL
01,2.04 (0.153),2.00 (0.155)
02,2.08 (0.146),1.99 (0.144)
03,2.21 (0.158),1.94 (0.143)
04,2.20 (0.127),2.03 (0.151)
05,1.78 (0.167),1.70 (0.160)
06,2.46 (0.164),2.02 (0.147)
07,2.12 (0.146),1.76 (0.170)
08,2.05 (0.155),1.91 (0.157)
09,1.98 (0.152),1.78 (0.140)
10,1.57 (0.157),0.65 (0.126)
11,1.73 (0.149),0.96 (0.117)
12,1.72 (0.139),0.62 (0.125)
13,1.69 (0.145),0.45 (0.127)
14,1.74 (0.147),0.52 (0.125)
15,1.64 (0.155),0.65 (0.134)
16,1.82 (0.144),0.92 (0.145)
17,1.77 (0.139),0.62 (0.129)
18,1.53 (0.151),1.19 (0.123)
19,1.62 (0.160),1.26 (0.156)
20,1.60 (0.156),1.16 (0.143)
21,1.60 (0.158),1.22 (0.150)
22,1.62 (0.155),0.34 (0.134)
23,1.59 (0.161),0.48 (0.135)
24,1.49 (0.152),0.49 (0.132)
25,1.62 (0.163),0.69 (0.131)
26,1.51 (0.156),0.70 (0.132)
27,1.48 (0.158),0.67 (0.121)
28,1.51 (0.156),0.77 (0.124)
29,1.59 (0.160),0.73 (0.123)
30,1.52 (0.162),0.67 (0.124)
