Week,SuperLearner,DiscreteSL
01,23.63 (2.604),20.77 (3.137)
05,25.26 (2.703),20.06 (2.835)
10,23.57 (2.460), 9.21 (2.305)
15,29.91 (2.329),12.84 (2.591)
20,32.43 (2.056), 6.43 (2.263)
25,31.68 (2.136), 1.64 (2.230)
30,31.64 (2.086), 0.00 (2.229)
