Week,SuperLearner,DiscreteSL
01,4.02 (0.024),3.74 (0.026)
02,3.73 (0.023),3.65 (0.025)
03,3.71 (0.023),3.63 (0.022)
04,3.68 (0.023),3.65 (0.023)
05,3.66 (0.023),3.59 (0.023)
06,3.68 (0.023),3.63 (0.023)
07,3.60 (0.023),3.57 (0.023)
08,3.13 (0.023),3.18 (0.022)
09,3.13 (0.022),3.20 (0.021)
10,3.39 (0.023),3.29 (0.025)
11,3.47 (0.024),3.42 (0.024)
12,3.43 (0.024),3.42 (0.024)
13,3.47 (0.025),3.14 (0.024)
14,2.86 (0.023),2.99 (0.024)
15,3.25 (0.025),3.50 (0.026)
16,3.26 (0.024),3.36 (0.027)
17,2.84 (0.024),3.13 (0.028)
18,1.90 (0.02),2.21 (0.02)
19,1.76 (0.018),1.86 (0.018)
20,1.54 (0.016),1.66 (0.017)
21,1.31 (0.016),1.35 (0.016)
22,1.09 (0.015),1.19 (0.015)
23,1.03 (0.014),1.13 (0.014)
24,1.00 (0.014),1.07 (0.015)
25,1.21 (0.014),1.34 (0.015)
26,1.22 (0.014),1.26 (0.014)
28,1.15 (0.014),1.22 (0.014)
29,1.14 (0.013),1.24 (0.013)
30,1.17 (0.014),1.35 (0.013)
