Week,SuperLearnerCV,DiscreteSL
01,3.51 (0.017),3.34 (0.022)
05,3.65 (0.018),3.36 (0.020)
10,3.43 (0.021),3.15 (0.020)
15,3.95 (0.018),3.58 (0.017)
20,1.62 (0.010),1.51 (0.011)
25,1.74 (0.010),1.25 (0.010)
30,1.61 (0.010),1.42 (0.010)
