Week,SuperLearnerCV,DiscreteSL
01,28.13 (0.164),27.48 (0.182)
05,40.31 (0.780),28.27 (0.162)
10,25.76 (0.253),21.80 (0.140)
15,24.10 (0.192),19.83 (0.139)
20,12.03 (0.090), 9.70 (0.087)
25,2.14 (0.021),1.76 (0.017)
30,0 (0),0 (0)
