Week,SuperLearner,DiscreteSL
01,24.76 (2.309),24.76 (2.309)
02,25.78 (2.582),24.97 (2.526)
03,24.27 (2.536),23.61 (2.650)
04,25.85 (2.479),25.20 (2.614)
05,24.21 (2.542),20.18 (2.826)
06,25.42 (2.767),23.36 (2.558)
07,25.66 (2.669),19.37 (2.679)
08,23.17 (2.810),22.13 (2.776)
09,21.78 (2.791),20.33 (2.610)
10,18.11 (2.661),11.89 (2.339)
11,19.91 (2.669),15.49 (2.784)
12,18.95 (2.654),15.48 (2.562)
13,19.19 (2.695),12.63 (2.565)
14,19.51 (2.696),13.17 (2.378)
15,18.04 (2.726),14.07 (2.676)
16,20.27 (2.670), 6.93 (2.208)
17,18.79 (2.698),13.14 (2.141)
18,18.01 (2.738), 6.40 (2.246)
19,17.93 (2.761), 8.00 (2.167)
20,18.51 (2.801), 6.59 (2.267)
21,18.84 (2.758), 6.77 (2.226)
22,18.49 (2.763), 6.45 (2.303)
23,17.74 (2.747), 3.97 (2.244)
24,18.60 (2.751), 3.17 (2.220)
25,18.00 (2.756), 1.82 (2.218)
26,18.09 (2.726), 1.31 (2.222)
27,17.96 (2.760), 0.91 (2.236)
28,18.01 (2.763), 0.90 (2.237)
29,17.90 (2.808), 0.89 (2.236)
30,18.66 (2.885), 0.91 (2.238)
