Week,Mean,SD,Median,Minimum,Maximum
01,29.1053384743269,0.711162123521546,29.020230714513,27.4814154418987,31.2157466420026
02,32.1190684667794,18.723658835971,29.6293348049509,27.8876206690836,190.293269108226
03,38.1706795662181,57.8993293450886,28.7616691600128,26.9707560984342,534.255795244123
04,36.526999753931,28.6170630035403,29.1921880425245,27.6357521617989,272.522281497875
05,40.4707531237709,36.9080952738838,32.2384332119873,28.2494474309773,282.366148178784
06,32.241870868556,11.1582992552137,30.147653185796,23.4062914928885,100.433804134357
07,36.2595694902787,31.2536494950358,33.0839485913565,26.0430375500504,299.189722455876
08,30.603819270896,11.7934475484431,28.2683150896659,25.2026752201134,124.475098842989
09,28.5573029888066,5.9756825657526,26.7825501025267,25.0037436389067,69.1321848945033
10,27.724172800605,14.293567124719,24.0657096226556,22.6627075021672,143.433510174215
11,26.7043776979678,13.4248484172045,23.5921171100883,21.1919431350274,136.189387146889
12,25.6455576363825,5.37003218377601,23.4720101950288,21.9315162165896,58.1398642517966
13,24.8509953929493,6.69500179278586,22.7669399599121,19.2335565300767,73.0347895997718
14,26.1571771597621,7.33731647522829,25.3762446347499,20.1788417715601,73.9053593126514
15,25.8422555440183,8.27273663376208,25.2715566437545,20.0005975821119,84.6931496226557
16,23.5598362362606,5.49018667089866,22.7853053680137,18.389465380833,52.1549840314576
17,23.4964099515167,5.5458316520272,24.5844028840052,18.041009412623,55.4718357175852
18,18.3678358599845,5.64153410398684,14.9336325516596,13.6852194502069,47.3803035231769
19,18.0417816462532,7.84481356329291,14.62257347731,11.7249286383921,61.8104922785417
20,16.4679285460649,7.32315263760275,14.95071024598,9.64828285573172,51.549836772183
21,16.9343890961733,8.24653216983177,16.9020514331071,8.7180336116436,51.1436228300441
22,15.096712115302,8.98380202585657,8.42919991861499,6.57906245434484,46.6377931055945
23,14.3203340027727,8.7404739440437,9.27556404516402,4.73802404507519,40.9824603161049
24,14.0027934986911,12.3762804032537,5.93666276371859,3.44816142483081,69.6356895653118
25,13.0218307657312,12.2113140798727,3.98090662288827,1.75561379638938,61.2279782924956
26,13.0897995756383,12.8970428929459,3.47019847254457,1.73941980540975,64.3119835059132
27,12.6319790559216,13.0063296630691,2.09185793359769,0.733191194177369,60.788193567055
28,12.4562783027511,13.664796987084,2.05435255759686,0.533902918813528,64.4885295288102
29,11.6047707265757,12.5062942060181,1.92832123338966,0.24670451608996,53.6152885534163
30,11.869761071533,13.7739341161987,1.93232630450003,7.37553433083655e-15,73.5242878388453
