epiweek,mean_tempf,mean_tempf_lag1,mean_tempf_lag2,mean_rh,mean_rh_lag1,mean_rh_lag2
40,57.1792822757112,61.2553498574249,63.0993958103638,62.5420093457944,60.4587108827651,59.3196252927401
41,54.4084918389554,57.1792822757112,61.2553498574249,60.5168211306766,62.5420093457944,60.4587108827651
42,52.2057454228423,54.4084918389554,57.1792822757112,60.3593314763231,60.5168211306766,62.5420093457944
43,49.4589416376306,52.2057454228423,54.4084918389554,62.975718257646,60.3593314763231,60.5168211306766
44,47.5766090712742,49.4589416376306,52.2057454228423,62.9623101702716,62.975718257646,60.3593314763231
45,44.2406593406593,47.5766090712742,49.4589416376306,62.6005960568545,62.9623101702716,62.975718257646
46,41.7012122538294,44.2406593406593,47.5766090712742,62.9110741444866,62.6005960568545,62.9623101702716
47,39.1984937238493,41.7012122538294,44.2406593406593,65.2888142102737,62.9110741444866,62.6005960568545
48,36.9008550022037,39.1984937238493,41.7012122538294,66.0258545979778,65.2888142102737,62.9110741444866
49,34.4522709163345,36.9008550022037,39.1984937238493,68.6727622714147,66.0258545979778,65.2888142102737
50,32.4359760956176,34.4522709163345,36.9008550022037,68.61375,68.6727622714147,66.0258545979778
51,33.0447019720806,32.4359760956176,34.4522709163345,71.3189721421711,68.61375,68.6727622714147
52,31.2444608374919,33.0447019720806,32.4359760956176,69.2930276981853,71.3189721421711,68.61375
53,31.0486320754717,31.2444608374919,33.0447019720806,68.9936974789916,69.2930276981853,71.3189721421711
1,29.9144897499437,31.0486320754717,31.2444608374919,67.6794575590155,68.9936974789916,69.2930276981853
2,31.3350828603859,29.9144897499437,31.0486320754717,69.439406345957,67.6794575590155,68.9936974789916
3,32.2133122171946,31.3350828603859,29.9144897499437,67.3487231869254,69.439406345957,67.6794575590155
4,32.9166110108303,32.2133122171946,31.3350828603859,65.6555271238485,67.3487231869254,69.439406345957
5,32.776244916403,32.9166110108303,32.2133122171946,64.666070516096,65.6555271238485,67.3487231869254
6,32.8318951886153,32.776244916403,32.9166110108303,65.6977982590887,64.666070516096,65.6555271238485
7,35.9680688249945,32.8318951886153,32.776244916403,64.4114695340501,65.6977982590887,64.666070516096
8,36.3464358452139,35.9680688249945,32.8318951886153,64.0140801644399,64.4114695340501,65.6977982590887
9,37.6690462232243,36.3464358452139,35.9680688249945,61.9527877237851,64.0140801644399,64.4114695340501
10,40.9804453441295,37.6690462232243,36.3464358452139,60.6998464687819,61.9527877237851,64.0140801644399
11,45.3598606115108,40.9804453441295,37.6690462232243,58.7055327868853,60.6998464687819,61.9527877237851
12,43.7036511156187,45.3598606115108,40.9804453441295,58.1758072783189,58.7055327868853,60.6998464687819
13,46.6017422541537,43.7036511156187,45.3598606115108,58.6522051282051,58.1758072783189,58.7055327868853
14,47.5310194936143,46.6017422541537,43.7036511156187,57.7292857142857,58.6522051282051,58.1758072783189
15,49.4125044722718,47.5310194936143,46.6017422541537,55.9738908720041,57.7292857142857,58.6522051282051
16,50.526150749273,49.4125044722718,47.5310194936143,57.8564687975647,55.9738908720041,57.7292857142857
17,53.089235924933,50.526150749273,49.4125044722718,56.7878603945371,57.8564687975647,55.9738908720041
