Template season,N
2003-04,  946
2004-05,"1,006"
2005-06,"1,001"
2006-07,"1,092"
2007-08,  970
2008-09,"1,014"
2010-11,"1,000"
2011-12,  967
2012-13,  987
2013-14,"1,014"
2014-15,  972
2015-16,"1,001"
2016-17,"1,011"
2017-18,  973
2018-19,"1,046"
